,India,"China, People's Republic of","Korea, Republic of",France,Nigeria,Philippines,Vietnam,Brazil,Iran,Japan,date,year
83,23175,4985,1045,1165,1550,3275,815,1390,1460,455,01-12-2021,2021-12
84,12780,3150,1200,1630,1265,910,720,1055,950,1250,01-01-2022,2022-01
85,9355,3100,720,575,595,680,575,540,620,990,01-02-2022,2022-02
86,10385,2455,705,440,695,855,620,615,580,1100,01-03-2022,2022-03
87,25150,2155,650,450,1165,2055,580,680,765,1620,01-04-2022,2022-04
88,15765,4055,800,575,1020,725,725,575,775,915,01-05-2022,2022-05
89,8935,6205,1225,760,950,825,975,665,910,735,01-06-2022,2022-06
90,9020,6180,1335,1215,1210,1720,1015,865,1070,720,01-07-2022,2022-07
91,45755,11860,2585,7720,3300,6755,1785,2540,3290,2045,01-08-2022,2022-08
92,22740,6585,1020,1980,2100,2890,1175,1105,2010,1200,01-09-2022,2022-09
93,7470,3155,620,555,935,1275,665,470,650,485,01-10-2022,2022-10
94,6415,2490,495,490,925,1800,590,490,785,350,01-11-2022,2022-11
95,59110,2960,765,730,2905,5295,960,1095,1505,310,01-12-2022,2022-12
96,12070,3695,1020,1205,2450,1575,825,960,1130,610,01-01-2023,2023-01
97,5550,2835,710,520,1205,1090,615,590,650,585,01-02-2023,2023-02
98,8200,2735,640,610,1535,1645,570,610,945,575,01-03-2023,2023-03
99,47030,2590,545,385,4005,3310,670,830,865,925,01-04-2023,2023-04
100,13060,3765,755,340,2590,1695,770,575,760,570,01-05-2023,2023-05
101,10415,6020,1135,845,2020,2065,1020,675,1035,610,01-06-2023,2023-06
102,12410,7085,1380,1605,3080,3745,1285,910,1505,685,01-07-2023,2023-07
103,78615,14305,2345,7365,7570,7345,2185,2435,3400,1810,01-08-2023,2023-08
104,18000,8580,1040,1640,5260,2810,1060,1030,1975,1100,01-09-2023,2023-09
105,6420,3240,425,515,1735,1995,650,545,650,325,01-10-2023,2023-10
106,8425,2700,405,355,2220,2425,630,550,845,250,01-11-2023,2023-11
107,64215,3550,640,545,5920,5155,1030,1050,1490,270,01-12-2023,2023-12
108,18395,4940,1045,1000,2935,2010,785,925,1340,570,01-01-2024,2024-01
